(interacting with it) Heliospheric_current_sheet.txt 1
(garden sprinkler effect) Heliospheric_current_sheet.txt 1
(to the magnetic) Heliospheric_current_sheet.txt 2
(was discovered by) Heliospheric_current_sheet.txt 1
(that supply the) Heliospheric_current_sheet.txt 1
(polar regions the) Heliospheric_current_sheet.txt 1
(strength would decrease) Heliospheric_current_sheet.txt 1
(schatten it warps) Heliospheric_current_sheet.txt 1
(eugene parker s) Heliospheric_current_sheet.txt 1
(sheet the heliospheric) Heliospheric_current_sheet.txt 1
(not rotating the) Heliospheric_current_sheet.txt 1
(while it spins) Heliospheric_current_sheet.txt 1
(as well as) Heliospheric_current_sheet.txt 1
(current sheet is) Heliospheric_current_sheet.txt 4
(creates the largest) Heliospheric_current_sheet.txt 1
(the field from) Heliospheric_current_sheet.txt 1
(the current sheet) Heliospheric_current_sheet.txt 3
(a mathematical model) Heliospheric_current_sheet.txt 1
(dipole field unlike) Heliospheric_current_sheet.txt 1
(more slowly about) Heliospheric_current_sheet.txt 1
(responsible for the) Heliospheric_current_sheet.txt 1
(about 25 days) Heliospheric_current_sheet.txt 1
(of the solar) Heliospheric_current_sheet.txt 5
(from an ideal) Heliospheric_current_sheet.txt 1
(has a radial) Heliospheric_current_sheet.txt 1
(into a parker) Heliospheric_current_sheet.txt 1
(in the outer) Heliospheric_current_sheet.txt 2
(sheet contents characteristics) Heliospheric_current_sheet.txt 1
(days during which) Heliospheric_current_sheet.txt 1
(the north to) Heliospheric_current_sheet.txt 1
(suns surface rotates) Heliospheric_current_sheet.txt 1
(field on the) Heliospheric_current_sheet.txt 2
(edit the heliospheric) Heliospheric_current_sheet.txt 2
(be expected from) Heliospheric_current_sheet.txt 1
(period than the) Heliospheric_current_sheet.txt 1
(surface within the) Heliospheric_current_sheet.txt 1
(system the heliospheric) Heliospheric_current_sheet.txt 1
(near the orbit) Heliospheric_current_sheet.txt 1
(at the earth) Heliospheric_current_sheet.txt 1
(the existence of) Heliospheric_current_sheet.txt 1
(about 10-20 astronomical) Heliospheric_current_sheet.txt 1
(from the influence) Heliospheric_current_sheet.txt 1
(field edit the) Heliospheric_current_sheet.txt 1
(form of an) Heliospheric_current_sheet.txt 1
(a parker spiral) Heliospheric_current_sheet.txt 1
(the heliospheric current) Heliospheric_current_sheet.txt 9
(components so that) Heliospheric_current_sheet.txt 1
(current flows within) Heliospheric_current_sheet.txt 1
(an ideal dipole) Heliospheric_current_sheet.txt 1
