(yields a fluctuating) Fine_structure.txt 1
(quantum electrodynamics that) Fine_structure.txt 1
(effect for example) Fine_structure.txt 1
(structure energies is) Fine_structure.txt 1
(be estimated averaging) Fine_structure.txt 1
(quantum number therefore) Fine_structure.txt 1
(which comes from) Fine_structure.txt 1
(protons orbital momentum) Fine_structure.txt 1
(state is spin-orbit) Fine_structure.txt 1
(hamiltonian from the) Fine_structure.txt 1
(the thomas precession) Fine_structure.txt 1
(orbital the same) Fine_structure.txt 1
(wikipedia interference fringes) Fine_structure.txt 1
(is spin-orbit coupling) Fine_structure.txt 1
(the gross structure) Fine_structure.txt 3
(splitting of the) Fine_structure.txt 1
(it was first) Fine_structure.txt 2
(order to give) Fine_structure.txt 1
(derived by charles) Fine_structure.txt 1
(for the theoretical) Fine_structure.txt 1
(the fine structure) Fine_structure.txt 3
(the total relativistic) Fine_structure.txt 1
(hydrogen atom and) Fine_structure.txt 1
(that this expression) Fine_structure.txt 1
(energy levels and) Fine_structure.txt 1
(electron spin the) Fine_structure.txt 1
(however when considering) Fine_structure.txt 1
(changes the effective) Fine_structure.txt 1
(radius is the) Fine_structure.txt 1
(it gives the) Fine_structure.txt 1
(expands to first) Fine_structure.txt 1
(of the electrostatic) Fine_structure.txt 1
(which are due) Fine_structure.txt 1
(the effect on) Fine_structure.txt 1
(affects only the) Fine_structure.txt 2
(the line spectra) Fine_structure.txt 1
(of the dirac) Fine_structure.txt 2
(to compare with) Fine_structure.txt 1
(spectra is the) Fine_structure.txt 1
(for the relativistic) Fine_structure.txt 1
(expanding this in) Fine_structure.txt 1
(fluctuations allow for) Fine_structure.txt 1
(electron this can) Fine_structure.txt 1
(by the following) Fine_structure.txt 1
(is worth noting) Fine_structure.txt 1
(corrections to the) Fine_structure.txt 1
(2 called the) Fine_structure.txt 1
(anomalous magnetic dipole) Fine_structure.txt 1
(a further smaller) Fine_structure.txt 1
(and split the) Fine_structure.txt 1
(in quantum electrodynamics) Fine_structure.txt 1
(loop which in) Fine_structure.txt 1
(which in turn) Fine_structure.txt 1
(article spin-orbit interaction) Fine_structure.txt 1
(the s-state and) Fine_structure.txt 1
(be understood by) Fine_structure.txt 1
(energy term of) Fine_structure.txt 1
(pairs this yields) Fine_structure.txt 1
(the non-relativistic schrdinger) Fine_structure.txt 1
(due to relativistic) Fine_structure.txt 1
(the electrons of) Fine_structure.txt 1
(a taylor expansion) Fine_structure.txt 1
(out in the) Fine_structure.txt 1
(vectors and couple) Fine_structure.txt 1
(atomic number and) Fine_structure.txt 1
(as it was) Fine_structure.txt 1
(the first order) Fine_structure.txt 3
(and relativistic corrections) Fine_structure.txt 1
(the relativistic calculation) Fine_structure.txt 1
(the quantum mechanics) Fine_structure.txt 1
(calculation the order) Fine_structure.txt 1
(referred to as) Fine_structure.txt 1
(the uncertainty principle) Fine_structure.txt 1
(darwin term the) Fine_structure.txt 1
(order correction to) Fine_structure.txt 1
(predicted by the) Fine_structure.txt 1
(or zitterbewegung of) Fine_structure.txt 1
(full hamiltonian is) Fine_structure.txt 1
(fine structure energy) Fine_structure.txt 1
(makes the s-state) Fine_structure.txt 1
(other corrections from) Fine_structure.txt 1
(first measured precisely) Fine_structure.txt 1
(to electron spin) Fine_structure.txt 1
(spin interactions kinetic) Fine_structure.txt 1
(corrections which are) Fine_structure.txt 1
(notice that there) Fine_structure.txt 1
(can be interpreted) Fine_structure.txt 1
(given by the) Fine_structure.txt 2
(fluctuating electron position) Fine_structure.txt 1
(the nucleus frame) Fine_structure.txt 1
(equation in this) Fine_structure.txt 1
(the electron itself) Fine_structure.txt 1
(the electron from) Fine_structure.txt 1
