(telescope objectives adapted) Long_focus_lens.txt 1
(long lenses are) Long_focus_lens.txt 1
(is done by) Long_focus_lens.txt 1
(long-focus lenses edit) Long_focus_lens.txt 2
(lengths constant object) Long_focus_lens.txt 1
(1.25 inch tube) Long_focus_lens.txt 1
(lenses besides being) Long_focus_lens.txt 1
(done by exposure) Long_focus_lens.txt 1
(the effect of) Long_focus_lens.txt 1
(lens for example) Long_focus_lens.txt 1
(object but is) Long_focus_lens.txt 1
(place the above) Long_focus_lens.txt 1
(taken from the) Long_focus_lens.txt 2
(more even when) Long_focus_lens.txt 1
(on photographs taken) Long_focus_lens.txt 1
(comparison images below) Long_focus_lens.txt 1
(an alternative to) Long_focus_lens.txt 1
(formats so they) Long_focus_lens.txt 1
(the same place) Long_focus_lens.txt 1
(attaches to an) Long_focus_lens.txt 1
(often used with) Long_focus_lens.txt 1
(for example a) Long_focus_lens.txt 1
(edit the photographer) Long_focus_lens.txt 1
(system camera s) Long_focus_lens.txt 1
(magnification increasing as) Long_focus_lens.txt 1
(mm camera using) Long_focus_lens.txt 1
(tripod because of) Long_focus_lens.txt 1
(and long-focus microscopy) Long_focus_lens.txt 1
(effect of different) Long_focus_lens.txt 1
(although the foreground) Long_focus_lens.txt 1
(captured using standard) Long_focus_lens.txt 1
(since perspective is) Long_focus_lens.txt 1
(a technique where) Long_focus_lens.txt 1
(lenses in nature) Long_focus_lens.txt 1
(telescopes eyepiece lens) Long_focus_lens.txt 1
(two being a) Long_focus_lens.txt 1
(telescopes as long-focus) Long_focus_lens.txt 1
(lens is usually) Long_focus_lens.txt 1
(basic photographic lens) Long_focus_lens.txt 1
(shorter focal length) Long_focus_lens.txt 1
(for a particular) Long_focus_lens.txt 1
(film format is) Long_focus_lens.txt 1
(gain or filters) Long_focus_lens.txt 1
(as long-focus lenses) Long_focus_lens.txt 2
(smaller than many) Long_focus_lens.txt 1
(a focal length) Long_focus_lens.txt 1
(used in an) Long_focus_lens.txt 1
(photography surveillance machine) Long_focus_lens.txt 1
(to as digiscoping) Long_focus_lens.txt 1
(to moving closer) Long_focus_lens.txt 1
(subject this background) Long_focus_lens.txt 1
(taken using a) Long_focus_lens.txt 1
(other comparing magnification) Long_focus_lens.txt 1
(though a longer) Long_focus_lens.txt 1
(it easier to) Long_focus_lens.txt 1
(is the telephoto) Long_focus_lens.txt 1
(compact digital cameras) Long_focus_lens.txt 1
(each other comparing) Long_focus_lens.txt 1
(often moves to) Long_focus_lens.txt 1
(a normal lens) Long_focus_lens.txt 1
(because of the) Long_focus_lens.txt 1
(lack diaphragms for) Long_focus_lens.txt 1
(sensor formats so) Long_focus_lens.txt 1
(distance between the) Long_focus_lens.txt 1
(are used a) Long_focus_lens.txt 1
(one of three) Long_focus_lens.txt 1
(by shorter focal) Long_focus_lens.txt 1
(the fact that) Long_focus_lens.txt 1
(they tend to) Long_focus_lens.txt 1
(more distant location) Long_focus_lens.txt 1
(using a 35) Long_focus_lens.txt 1
(images below that) Long_focus_lens.txt 1
(size on the) Long_focus_lens.txt 1
(camera shake is) Long_focus_lens.txt 1
(the lens for) Long_focus_lens.txt 1
(eyepiece mount usually) Long_focus_lens.txt 1
(length contents effects) Long_focus_lens.txt 1
(of viewing location) Long_focus_lens.txt 1
(the late 1990s) Long_focus_lens.txt 1
(to as bokeh) Long_focus_lens.txt 1
(astronomical role in) Long_focus_lens.txt 1
(used in afocal) Long_focus_lens.txt 1
(aperture adjustment the) Long_focus_lens.txt 1
(of different focal) Long_focus_lens.txt 1
(camera s particular) Long_focus_lens.txt 1
(the same size) Long_focus_lens.txt 1
(for portraits telescopes) Long_focus_lens.txt 1
(and far objects) Long_focus_lens.txt 1
(is magnified still) Long_focus_lens.txt 1
(by moving closer) Long_focus_lens.txt 1
(use a telescope) Long_focus_lens.txt 1
(mm focal length) Long_focus_lens.txt 1
(same relative size) Long_focus_lens.txt 1
(effect to defocus) Long_focus_lens.txt 1
(other with a) Long_focus_lens.txt 1
