(earth without touching) Total_penumbral_lunar_eclipse.txt 1
(negative gamma or) Total_penumbral_lunar_eclipse.txt 1
(the eclipse occurs) Total_penumbral_lunar_eclipse.txt 1
(for the moon) Total_penumbral_lunar_eclipse.txt 1
(edit notes edit) Total_penumbral_lunar_eclipse.txt 1
(7 saros 58) Total_penumbral_lunar_eclipse.txt 1
(within two years) Total_penumbral_lunar_eclipse.txt 1
(19 8x saros) Total_penumbral_lunar_eclipse.txt 1
(the moon enters) Total_penumbral_lunar_eclipse.txt 1
(132 7x and) Total_penumbral_lunar_eclipse.txt 1
(that are not) Total_penumbral_lunar_eclipse.txt 1
(is a set) Total_penumbral_lunar_eclipse.txt 1
(2006 was a) Total_penumbral_lunar_eclipse.txt 1
(depending on whether) Total_penumbral_lunar_eclipse.txt 1
(is uneven occurring) Total_penumbral_lunar_eclipse.txt 1
(7x saros 116) Total_penumbral_lunar_eclipse.txt 1
(a total of) Total_penumbral_lunar_eclipse.txt 1
(occurs at its) Total_penumbral_lunar_eclipse.txt 1
(114 have 6) Total_penumbral_lunar_eclipse.txt 1
(edit such eclipses) Total_penumbral_lunar_eclipse.txt 1
(and 9 times) Total_penumbral_lunar_eclipse.txt 1
(enters it to) Total_penumbral_lunar_eclipse.txt 1
(a tetrad is) Total_penumbral_lunar_eclipse.txt 1
(years and also) Total_penumbral_lunar_eclipse.txt 1
(not be total) Total_penumbral_lunar_eclipse.txt 1
(be total penumbral) Total_penumbral_lunar_eclipse.txt 1
(penumbral cone of) Total_penumbral_lunar_eclipse.txt 1
(the earths penumbra) Total_penumbral_lunar_eclipse.txt 2
(this juist inverted) Total_penumbral_lunar_eclipse.txt 1
(mean that most) Total_penumbral_lunar_eclipse.txt 1
(orbit around the) Total_penumbral_lunar_eclipse.txt 1
(also edit notes) Total_penumbral_lunar_eclipse.txt 1
(have 6 114) Total_penumbral_lunar_eclipse.txt 1
(it mean that) Total_penumbral_lunar_eclipse.txt 1
(only saros in) Total_penumbral_lunar_eclipse.txt 1
(in its orbit) Total_penumbral_lunar_eclipse.txt 1
(of four total) Total_penumbral_lunar_eclipse.txt 1
(apogee in its) Total_penumbral_lunar_eclipse.txt 1
(58 6x saros) Total_penumbral_lunar_eclipse.txt 1
(crosses it mean) Total_penumbral_lunar_eclipse.txt 1
(list of total) Total_penumbral_lunar_eclipse.txt 1
(eclipse events 19012100) Total_penumbral_lunar_eclipse.txt 1
(157 7x saros) Total_penumbral_lunar_eclipse.txt 1
(wikipedia the penumbral) Total_penumbral_lunar_eclipse.txt 1
(lunar eclipses that) Total_penumbral_lunar_eclipse.txt 1
(its nearest perigee) Total_penumbral_lunar_eclipse.txt 1
(the penumbral cone) Total_penumbral_lunar_eclipse.txt 1
(within the penumbra) Total_penumbral_lunar_eclipse.txt 1
(eclipses will not) Total_penumbral_lunar_eclipse.txt 1
(600 years and) Total_penumbral_lunar_eclipse.txt 1
(moon the width) Total_penumbral_lunar_eclipse.txt 1
(sun over part) Total_penumbral_lunar_eclipse.txt 1
(of the eclipse) Total_penumbral_lunar_eclipse.txt 1
(the earths northern) Total_penumbral_lunar_eclipse.txt 1
(in nature contents) Total_penumbral_lunar_eclipse.txt 1
(by the suns) Total_penumbral_lunar_eclipse.txt 1
(touching the umbra) Total_penumbral_lunar_eclipse.txt 1
(247 10x saros) Total_penumbral_lunar_eclipse.txt 1
(and outside the) Total_penumbral_lunar_eclipse.txt 1
(small fraction of) Total_penumbral_lunar_eclipse.txt 1
(these events is) Total_penumbral_lunar_eclipse.txt 1
(than the sun) Total_penumbral_lunar_eclipse.txt 1
(of its elliptical) Total_penumbral_lunar_eclipse.txt 1
(339 8x saros) Total_penumbral_lunar_eclipse.txt 1
(per century the) Total_penumbral_lunar_eclipse.txt 1
(means positieve gamma) Total_penumbral_lunar_eclipse.txt 1
(8x saros 266) Total_penumbral_lunar_eclipse.txt 1
(the moons angular) Total_penumbral_lunar_eclipse.txt 1
(total umbral eclipses) Total_penumbral_lunar_eclipse.txt 3
(lunar eclipse events) Total_penumbral_lunar_eclipse.txt 1
(is a narrow) Total_penumbral_lunar_eclipse.txt 1
(row and see) Total_penumbral_lunar_eclipse.txt 1
(century the period) Total_penumbral_lunar_eclipse.txt 1
(nature contents frequency) Total_penumbral_lunar_eclipse.txt 1
(12x saros 157) Total_penumbral_lunar_eclipse.txt 1
(that occurs when) Total_penumbral_lunar_eclipse.txt 1
(the penumbra and) Total_penumbral_lunar_eclipse.txt 1
(maximum number in) Total_penumbral_lunar_eclipse.txt 1
(umbral eclipses a) Total_penumbral_lunar_eclipse.txt 1
(penumbral lunar eclipses) Total_penumbral_lunar_eclipse.txt 2
(a set of) Total_penumbral_lunar_eclipse.txt 1
(source https://www.iau.org/administration/membership/individual/6886 summary) Total_penumbral_lunar_eclipse.txt 1
(the time the) Total_penumbral_lunar_eclipse.txt 1
(elliptical orbit depending) Total_penumbral_lunar_eclipse.txt 1
(diameter at the) Total_penumbral_lunar_eclipse.txt 1
(eclipses and tetrads) Total_penumbral_lunar_eclipse.txt 1
(a row and) Total_penumbral_lunar_eclipse.txt 1
(total penumbral lunar) Total_penumbral_lunar_eclipse.txt 4
