and Solar_eclipse_of_August_9,_1896.txt 2 26 96 
diameter Solar_eclipse_of_August_9,_1896.txt 1 53 
all Solar_eclipse_of_August_9,_1896.txt 1 60 
partial Solar_eclipse_of_August_9,_1896.txt 1 78 
viewer Solar_eclipse_of_August_9,_1896.txt 1 41 
wikipedia Solar_eclipse_of_August_9,_1896.txt 1 6 
image Solar_eclipse_of_August_9,_1896.txt 1 35 
direct Solar_eclipse_of_August_9,_1896.txt 1 61 
surface Solar_eclipse_of_August_9,_1896.txt 1 75 
references Solar_eclipse_of_August_9,_1896.txt 1 111 
visible Solar_eclipse_of_August_9,_1896.txt 2 81 92 
suns Solar_eclipse_of_August_9,_1896.txt 1 58 
asia Solar_eclipse_of_August_9,_1896.txt 1 95 
in Solar_eclipse_of_August_9,_1896.txt 1 69 
earth Solar_eclipse_of_August_9,_1896.txt 2 25 43 
1896 Solar_eclipse_of_August_9,_1896.txt 2 5 15 
total Solar_eclipse_of_August_9,_1896.txt 2 8 45 
passes Solar_eclipse_of_August_9,_1896.txt 1 23 
kilometres Solar_eclipse_of_August_9,_1896.txt 1 88 
darkness Solar_eclipse_of_August_9,_1896.txt 1 66 
for Solar_eclipse_of_August_9,_1896.txt 1 39 
sun Solar_eclipse_of_August_9,_1896.txt 2 28 38 
when Solar_eclipse_of_August_9,_1896.txt 2 20 49 
was Solar_eclipse_of_August_9,_1896.txt 1 91 
sunlight Solar_eclipse_of_August_9,_1896.txt 1 62 
moon Solar_eclipse_of_August_9,_1896.txt 1 22 
eclipses Solar_eclipse_of_August_9,_1896.txt 1 101 
observations Solar_eclipse_of_August_9,_1896.txt 1 98 
totality Solar_eclipse_of_August_9,_1896.txt 1 67 
between Solar_eclipse_of_August_9,_1896.txt 1 24 
9 Solar_eclipse_of_August_9,_1896.txt 2 4 14 
hidden Solar_eclipse_of_August_9,_1896.txt 1 114 
thousands Solar_eclipse_of_August_9,_1896.txt 1 86 
occurs Solar_eclipse_of_August_9,_1896.txt 3 19 48 68 
day Solar_eclipse_of_August_9,_1896.txt 1 64 
wide Solar_eclipse_of_August_9,_1896.txt 1 89 
europe Solar_eclipse_of_August_9,_1896.txt 1 94 
over Solar_eclipse_of_August_9,_1896.txt 1 82 
apparent Solar_eclipse_of_August_9,_1896.txt 1 52 
partly Solar_eclipse_of_August_9,_1896.txt 1 32 
august Solar_eclipse_of_August_9,_1896.txt 2 3 13 
thereby Solar_eclipse_of_August_9,_1896.txt 1 29 
earths Solar_eclipse_of_August_9,_1896.txt 1 74 
with Solar_eclipse_of_August_9,_1896.txt 1 76 
moons Solar_eclipse_of_August_9,_1896.txt 1 51 
categories Solar_eclipse_of_August_9,_1896.txt 2 113 115 
occurred Solar_eclipse_of_August_9,_1896.txt 1 11 
it Solar_eclipse_of_August_9,_1896.txt 2 90 103 
part Solar_eclipse_of_August_9,_1896.txt 1 106 
124 Solar_eclipse_of_August_9,_1896.txt 1 110 
turning Solar_eclipse_of_August_9,_1896.txt 1 63 
solar Solar_eclipse_of_August_9,_1896.txt 6 0 9 17 46 79 108 
obscuring Solar_eclipse_of_August_9,_1896.txt 1 33 
totally Solar_eclipse_of_August_9,_1896.txt 1 30 
than Solar_eclipse_of_August_9,_1896.txt 1 56 
is Solar_eclipse_of_August_9,_1896.txt 2 54 104 
a Solar_eclipse_of_August_9,_1896.txt 7 7 16 40 44 70 83 105 
on Solar_eclipse_of_August_9,_1896.txt 2 12 42 
surrounding Solar_eclipse_of_August_9,_1896.txt 1 84 
edit Solar_eclipse_of_August_9,_1896.txt 3 99 102 112 
of Solar_eclipse_of_August_9,_1896.txt 4 2 36 87 107 
into Solar_eclipse_of_August_9,_1896.txt 1 65 
larger Solar_eclipse_of_August_9,_1896.txt 1 55 
eclipse Solar_eclipse_of_August_9,_1896.txt 5 1 10 18 47 80 
across Solar_eclipse_of_August_9,_1896.txt 2 73 93 
path Solar_eclipse_of_August_9,_1896.txt 1 72 
japan Solar_eclipse_of_August_9,_1896.txt 1 97 
blocking Solar_eclipse_of_August_9,_1896.txt 1 59 
region Solar_eclipse_of_August_9,_1896.txt 1 85 
the Solar_eclipse_of_August_9,_1896.txt 7 21 27 34 37 50 57 77 
narrow Solar_eclipse_of_August_9,_1896.txt 1 71 
or Solar_eclipse_of_August_9,_1896.txt 1 31 
related Solar_eclipse_of_August_9,_1896.txt 1 100 
saros Solar_eclipse_of_August_9,_1896.txt 1 109 
