and Solar_eclipse_of_August_12,_1942.txt 2 26 88 
note Solar_eclipse_of_August_12,_1942.txt 1 100 
partial Solar_eclipse_of_August_12,_1942.txt 3 8 45 102 
links Solar_eclipse_of_August_12,_1942.txt 1 123 
19421946 Solar_eclipse_of_August_12,_1942.txt 1 72 
viewer Solar_eclipse_of_August_12,_1942.txt 1 41 
wikipedia Solar_eclipse_of_August_12,_1942.txt 1 6 
image Solar_eclipse_of_August_12,_1942.txt 1 35 
year Solar_eclipse_of_August_12,_1942.txt 1 114 
related Solar_eclipse_of_August_12,_1942.txt 1 67 
orbit Solar_eclipse_of_August_12,_1942.txt 1 99 
hidden Solar_eclipse_of_August_12,_1942.txt 1 126 
semester Solar_eclipse_of_August_12,_1942.txt 2 78 92 
member Solar_eclipse_of_August_12,_1942.txt 1 75 
references Solar_eclipse_of_August_12,_1942.txt 1 120 
at Solar_eclipse_of_August_12,_1942.txt 1 93 
in Solar_eclipse_of_August_12,_1942.txt 3 49 76 110 
177 Solar_eclipse_of_August_12,_1942.txt 1 86 
earth Solar_eclipse_of_August_12,_1942.txt 4 25 43 55 65 
contents Solar_eclipse_of_August_12,_1942.txt 1 66 
previous Solar_eclipse_of_August_12,_1942.txt 1 112 
passes Solar_eclipse_of_August_12,_1942.txt 1 23 
for Solar_eclipse_of_August_12,_1942.txt 1 39 
also Solar_eclipse_of_August_12,_1942.txt 1 118 
1942 Solar_eclipse_of_August_12,_1942.txt 3 5 15 108 
sun Solar_eclipse_of_August_12,_1942.txt 2 28 38 
when Solar_eclipse_of_August_12,_1942.txt 2 20 56 
approximately Solar_eclipse_of_August_12,_1942.txt 1 84 
moon Solar_eclipse_of_August_12,_1942.txt 1 22 
regions Solar_eclipse_of_August_12,_1942.txt 1 52 
september Solar_eclipse_of_August_12,_1942.txt 1 106 
misses Solar_eclipse_of_August_12,_1942.txt 1 63 
set Solar_eclipse_of_August_12,_1942.txt 1 116 
4 Solar_eclipse_of_August_12,_1942.txt 1 89 
see Solar_eclipse_of_August_12,_1942.txt 1 117 
between Solar_eclipse_of_August_12,_1942.txt 1 24 
nodes Solar_eclipse_of_August_12,_1942.txt 1 95 
occurs Solar_eclipse_of_August_12,_1942.txt 3 19 48 109 
lunar Solar_eclipse_of_August_12,_1942.txt 1 113 
alternating Solar_eclipse_of_August_12,_1942.txt 1 94 
polar Solar_eclipse_of_August_12,_1942.txt 1 51 
partly Solar_eclipse_of_August_12,_1942.txt 1 32 
august Solar_eclipse_of_August_12,_1942.txt 2 3 13 
thereby Solar_eclipse_of_August_12,_1942.txt 1 29 
10 Solar_eclipse_of_August_12,_1942.txt 1 107 
series Solar_eclipse_of_August_12,_1942.txt 1 79 
moons Solar_eclipse_of_August_12,_1942.txt 2 61 98 
occurred Solar_eclipse_of_August_12,_1942.txt 1 11 
hours Solar_eclipse_of_August_12,_1942.txt 1 90 
every Solar_eclipse_of_August_12,_1942.txt 1 85 
external Solar_eclipse_of_August_12,_1942.txt 1 122 
solar Solar_eclipse_of_August_12,_1942.txt 7 0 9 17 46 70 81 103 
obscuring Solar_eclipse_of_August_12,_1942.txt 1 33 
shadow Solar_eclipse_of_August_12,_1942.txt 1 62 
totally Solar_eclipse_of_August_12,_1942.txt 1 30 
eclipses Solar_eclipse_of_August_12,_1942.txt 3 68 71 82 
categories Solar_eclipse_of_August_12,_1942.txt 2 125 127 
a Solar_eclipse_of_August_12,_1942.txt 6 7 16 40 44 77 91 
on Solar_eclipse_of_August_12,_1942.txt 3 12 42 105 
12 Solar_eclipse_of_August_12,_1942.txt 2 4 14 
center Solar_eclipse_of_August_12,_1942.txt 1 58 
edit Solar_eclipse_of_August_12,_1942.txt 5 69 73 119 121 124 
of Solar_eclipse_of_August_12,_1942.txt 6 2 36 53 59 80 96 
eclipse Solar_eclipse_of_August_12,_1942.txt 6 1 10 18 47 104 115 
days Solar_eclipse_of_August_12,_1942.txt 1 87 
each Solar_eclipse_of_August_12,_1942.txt 1 74 
the Solar_eclipse_of_August_12,_1942.txt 12 21 27 34 37 50 54 57 60 64 97 101 111 
repeats Solar_eclipse_of_August_12,_1942.txt 1 83 
or Solar_eclipse_of_August_12,_1942.txt 1 31 
